K	N
1915	463
1916	486
1917	488
1918	489
1919	493
1920	486
1921	519
1922	508
1923	479
1924	519
1925	438
1926	544
1927	512
1928	503
1929	530
1930	494
1931	465
1932	497
1933	519
1934	523
1935	494
1936	472
1937	491
1938	497
1939	491
1940	536
1941	504
1942	538
1943	482
1944	514
1945	531
1946	510
1947	497
1948	503
1949	500
1950	437
1951	486
1952	495
1953	532
1954	482
1955	465
1956	502
1957	468
1958	451
1959	475
1960	497
1961	458
1962	502
1963	473
1964	443
1965	447
1966	474
1967	466
1968	432
1969	471
1970	417
1971	435
1972	434
1973	440
1974	462
1975	450
1976	437
1977	414
1978	409
1979	451
1980	442
1981	444
1982	446
1983	434
1984	406
1985	446
1986	449
1987	433
1988	396
1989	411
1990	398
1991	427
1992	431
1993	364
1994	398
1995	393
1996	381
1997	365
1998	401
1999	346
2000	367
2001	358
2002	401
2003	340
2004	372
2005	371
2006	364
2007	322
2008	349
2009	359
2010	310
2011	348
2012	315
2013	322
2014	320
2015	308
2016	296
2017	312
2018	297
2019	305
2020	321
2021	271
2022	299
2023	294
2024	303
2025	310
2026	275
2027	282
2028	282
2029	262
2030	260
2031	244
2032	240
2033	235
2034	244
2035	231
2036	218
2037	219
2038	245
2039	220
2040	250
2041	227
2042	249
2043	230
2044	187
2045	219
2046	215
2047	219
2048	190
2049	189
2050	203
2051	203
2052	207
2053	217
2054	194
2055	207
2056	159
2057	210
2058	180
2059	196
2060	162
2061	141
2062	170
2063	168
2064	152
2065	171
2066	148
2067	173
2068	155
2069	148
2070	154
2071	157
2072	164
2073	142
2074	125
2075	164
2076	137
2077	132
2078	146
2079	146
2080	140
2081	130
2082	123
2083	115
2084	142
2085	139
2086	134
2087	132
2088	120
2089	111
2090	133
2091	104
2092	123
2093	124
2094	119
2095	138
2096	105
2097	92
2098	107
2099	89
2100	104
2101	101
2102	109
2103	122
2104	103
2105	86
2106	82
2107	100
2108	112
2109	116
2110	108
2111	108
2112	97
2113	108
2114	89
2115	116
2116	95
2117	96
2118	83
2119	91
2120	94
2121	92
2122	101
2123	95
2124	93
2125	110
2126	103
2127	85
2128	81
2129	100
2130	88
2131	79
2132	96
2133	101
2134	81
2135	88
2136	82
2137	100
2138	77
2139	93
2140	92
2141	91
2142	83
2143	89
2144	83
2145	79
2146	93
2147	68
2148	78
2149	90
2150	103
2151	89
2152	92
2153	85
2154	85
2155	94
2156	89
2157	87
2158	99
2159	82
2160	89
2161	99
2162	86
2163	95
2164	78
2165	90
2166	84
2167	89
2168	86
2169	83
2170	66
2171	88
2172	75
2173	86
2174	89
2175	82
2176	84
2177	95
2178	79
2179	96
2180	79
2181	94
2182	88
2183	76
2184	106
2185	95
2186	86
2187	92
2188	84
2189	88
2190	72
2191	73
2192	95
2193	88
2194	86
2195	82
2196	90
2197	95
2198	93
2199	74
2200	87
2201	85
2202	84
2203	81
2204	86
2205	91
2206	87
2207	90
2208	101
2209	85
